2019-07-06 00:29:55.521  INFO [ms1,,,] 1393 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8005 (http)
2019-07-06 00:29:55.578  INFO [ms1,,,] 1393 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-07-06 00:29:55.579  INFO [ms1,,,] 1393 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-07-06 00:29:55.794  INFO [ms1,,,] 1393 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-07-06 00:29:55.794  INFO [ms1,,,] 1393 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4254 ms
2019-07-06 00:29:56.057  WARN [ms1,,,] 1393 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:29:56.057  INFO [ms1,,,] 1393 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:29:56.097  INFO [ms1,,,] 1393 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3cad68df
2019-07-06 00:29:57.042  INFO [ms1,,,] 1393 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2019-07-06 00:29:57.552  WARN [ms1,,,] 1393 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:29:57.553  INFO [ms1,,,] 1393 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:29:57.925  INFO [ms1,,,] 1393 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-07-06 00:29:59.265  INFO [ms1,,,] 1393 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 21 endpoint(s) beneath base path '/actuator'
2019-07-06 00:29:59.475  INFO [ms1,,,] 1393 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8005 (http) with context path ''
2019-07-06 00:29:59.479  INFO [ms1,,,] 1393 --- [main] org.ms1.msApp1                           : Started msApp1 in 10.997 seconds (JVM running for 13.252)
2019-07-06 00:30:46.999  INFO [ms1,,,] 1393 --- [http-nio-8005-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-06 00:30:47.001  INFO [ms1,,,] 1393 --- [http-nio-8005-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-07-06 00:30:47.069  INFO [ms1,,,] 1393 --- [http-nio-8005-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 68 ms
2019-07-06 10:09:49.490  INFO [ms1,,,] 1393 --- [Thread-7] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-07-06 10:16:49.156  INFO [ms1,,,] 1751 --- [main] org.ms1.msApp1                           : The following profiles are active: dev
2019-07-06 10:16:51.032  INFO [ms1,,,] 1751 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=cfde3699-91b6-31df-af8f-ecdb91be3e36
2019-07-06 10:16:51.054  INFO [ms1,,,] 1751 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.ms1.msApp1$Ms2' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 10:16:51.374  INFO [ms1,,,] 1751 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8cc02987] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 10:16:51.913  INFO [ms1,,,] 1751 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8005 (http)
2019-07-06 10:16:51.942  INFO [ms1,,,] 1751 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-07-06 10:16:51.942  INFO [ms1,,,] 1751 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-07-06 10:16:52.193  INFO [ms1,,,] 1751 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-07-06 10:16:52.194  INFO [ms1,,,] 1751 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3019 ms
2019-07-06 10:16:52.354  WARN [ms1,,,] 1751 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 10:16:52.354  INFO [ms1,,,] 1751 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
